Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,46,2019-11-11,41.3853,2.1538,Eixample,16.060
2019,47,2019-11-18,41.3853,2.1538,Eixample,16.926
2019,48,2019-11-25,41.3853,2.1538,Eixample,20.992
2019,45,2019-11-04,41.3987,2.1534,Gràcia,13.791
2019,46,2019-11-11,41.3987,2.1534,Gràcia,14.429
2019,47,2019-11-18,41.3987,2.1534,Gràcia,16.206
2019,48,2019-11-25,41.3987,2.1534,Gràcia,19.192
2019,45,2019-11-04,41.4261,2.148,Vall Hebron,7.806
2019,46,2019-11-11,41.4261,2.148,Vall Hebron,8.944
2019,47,2019-11-18,41.4261,2.148,Vall Hebron,9.477
2019,48,2019-11-25,41.4261,2.148,Vall Hebron,9.802
2019,49,2019-12-02,41.4039,2.2045,Poblenou,21.547
2019,50,2019-12-09,41.4039,2.2045,Poblenou,17.505
2019,51,2019-12-16,41.4039,2.2045,Poblenou,49.239
2019,52,2019-12-23,41.4039,2.2045,Poblenou,20.272
2020,1,2019-12-30,41.4039,2.2045,Poblenou,19.421
2019,49,2019-12-02,41.3853,2.1538,Eixample,17.250
2019,50,2019-12-09,41.3853,2.1538,Eixample,15.608
2019,51,2019-12-16,41.3853,2.1538,Eixample,50.824
2019,52,2019-12-23,41.3853,2.1538,Eixample,19.827
2020,1,2019-12-30,41.3853,2.1538,Eixample,19.196
2019,49,2019-12-02,41.3987,2.1534,Gràcia,16.044
2019,50,2019-12-09,41.3987,2.1534,Gràcia,18.546
2019,51,2019-12-16,41.3987,2.1534,Gràcia,49.188
2019,52,2019-12-23,41.3987,2.1534,Gràcia,19.412
2020,1,2019-12-30,41.3987,2.1534,Gràcia,19.667
2019,49,2019-12-02,41.4261,2.148,Vall Hebron,10.247
2019,50,2019-12-09,41.4261,2.148,Vall Hebron,8.211
2019,51,2019-12-16,41.4261,2.148,Vall Hebron,45.596
2019,52,2019-12-23,41.4261,2.148,Vall Hebron,11.855
2020,1,2019-12-30,41.4261,2.148,Vall Hebron,15.375
2019,51,2019-12-16,41.3875,2.1151,Palau Reial,58.407
2019,52,2019-12-23,41.3875,2.1151,Palau Reial,13.089
2020,1,2019-12-30,41.3875,2.1151,Palau Reial,17.764
2020,2,2020-01-06,41.4039,2.2045,Poblenou,23.522
2020,3,2020-01-13,41.4039,2.2045,Poblenou,27.348
2020,4,2020-01-20,41.4039,2.2045,Poblenou,54.217
2020,5,2020-01-27,41.4039,2.2045,Poblenou,25.709
2020,2,2020-01-06,41.3853,2.1538,Eixample,23.010
2020,3,2020-01-13,41.3853,2.1538,Eixample,24.414
2020,4,2020-01-20,41.3853,2.1538,Eixample,49.487
2020,5,2020-01-27,41.3853,2.1538,Eixample,25.588
2020,2,2020-01-06,41.3987,2.1534,Gràcia,20.894
2020,3,2020-01-13,41.3987,2.1534,Gràcia,20.036
2020,4,2020-01-20,41.3987,2.1534,Gràcia,47.443
2020,5,2020-01-27,41.3987,2.1534,Gràcia,20.676
2020,2,2020-01-06,41.4261,2.148,Vall Hebron,13.932
2020,3,2020-01-13,41.4261,2.148,Vall Hebron,13.411
2020,4,2020-01-20,41.4261,2.148,Vall Hebron,42.087
2020,5,2020-01-27,41.4261,2.148,Vall Hebron,10.648
2020,2,2020-01-06,41.3875,2.1151,Palau Reial,16.450
2020,3,2020-01-13,41.3875,2.1151,Palau Reial,17.393
2020,4,2020-01-20,41.3875,2.1151,Palau Reial,29.018
2020,5,2020-01-27,41.3875,2.1151,Palau Reial,12.906
2020,6,2020-02-03,41.4039,2.2045,Poblenou,33.071
2020,7,2020-02-10,41.4039,2.2045,Poblenou,27.295
2020,8,2020-02-17,41.4039,2.2045,Poblenou,29.512
2020,9,2020-02-24,41.4039,2.2045,Poblenou,41.646
2020,6,2020-02-03,41.3853,2.1538,Eixample,31.364
2020,7,2020-02-10,41.3853,2.1538,Eixample,26.559
2020,8,2020-02-17,41.3853,2.1538,Eixample,27.883
2020,9,2020-02-24,41.3853,2.1538,Eixample,39.165
2020,6,2020-02-03,41.3987,2.1534,Gràcia,29.608
2020,7,2020-02-10,41.3987,2.1534,Gràcia,25.418
2020,8,2020-02-17,41.3987,2.1534,Gràcia,27.755
2020,9,2020-02-24,41.3987,2.1534,Gràcia,37.963
2020,6,2020-02-03,41.4261,2.148,Vall Hebron,20.664
2020,7,2020-02-10,41.4261,2.148,Vall Hebron,18.912
2020,8,2020-02-17,41.4261,2.148,Vall Hebron,21.195
2020,9,2020-02-24,41.4261,2.148,Vall Hebron,31.957
2020,6,2020-02-03,41.3875,2.1151,Palau Reial,19.266
2020,7,2020-02-10,41.3875,2.1151,Palau Reial,20.190
2020,8,2020-02-17,41.3875,2.1151,Palau Reial,12.100
2020,9,2020-02-24,41.3875,2.1151,Palau Reial,28.967
2020,10,2020-03-02,41.4039,2.2045,Poblenou,22.337
2020,11,2020-03-09,41.4039,2.2045,Poblenou,29.892
2020,12,2020-03-16,41.4039,2.2045,Poblenou,24.677
2020,13,2020-03-23,41.4039,2.2045,Poblenou,20.059
2020,14,2020-03-30,41.4039,2.2045,Poblenou,16.595
2020,10,2020-03-02,41.3853,2.1538,Eixample,21.348
2020,11,2020-03-09,41.3853,2.1538,Eixample,27.485
2020,12,2020-03-16,41.3853,2.1538,Eixample,22.919
2020,13,2020-03-23,41.3853,2.1538,Eixample,17.414
2020,14,2020-03-30,41.3853,2.1538,Eixample,16.100
2020,10,2020-03-02,41.3987,2.1534,Gràcia,22.005
2020,11,2020-03-09,41.3987,2.1534,Gràcia,25.546
2020,12,2020-03-16,41.3987,2.1534,Gràcia,23.065
2020,13,2020-03-23,41.3987,2.1534,Gràcia,18.282
2020,14,2020-03-30,41.3987,2.1534,Gràcia,15.884
2020,10,2020-03-02,41.4261,2.148,Vall Hebron,11.239
