Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,36,2019-09-02,41.3875,2.1151,Palau Reial,61.557
2019,37,2019-09-09,41.3875,2.1151,Palau Reial,73.070
2019,38,2019-09-16,41.3875,2.1151,Palau Reial,58.565
2019,39,2019-09-23,41.3875,2.1151,Palau Reial,51.740
2019,40,2019-09-30,41.3875,2.1151,Palau Reial,47.775
2019,41,2019-10-07,41.3853,2.1538,Eixample,27.865
2019,42,2019-10-14,41.3853,2.1538,Eixample,32.339
2019,43,2019-10-21,41.3853,2.1538,Eixample,21.861
2019,44,2019-10-28,41.3853,2.1538,Eixample,18.066
2019,41,2019-10-07,41.3987,2.1534,Gràcia,34.479
2019,42,2019-10-14,41.3987,2.1534,Gràcia,41.844
2019,43,2019-10-21,41.3987,2.1534,Gràcia,29.445
2019,44,2019-10-28,41.3987,2.1534,Gràcia,26.756
2019,41,2019-10-07,41.3864,2.1874,Ciutadella,36.647
2019,42,2019-10-14,41.3864,2.1874,Ciutadella,36.919
2019,43,2019-10-21,41.3864,2.1874,Ciutadella,31.076
2019,44,2019-10-28,41.3864,2.1874,Ciutadella,21.807
2019,41,2019-10-07,41.4261,2.148,Vall Hebron,44.029
2019,42,2019-10-14,41.4261,2.148,Vall Hebron,53.351
2019,43,2019-10-21,41.4261,2.148,Vall Hebron,37.417
2019,44,2019-10-28,41.4261,2.148,Vall Hebron,36.798
2019,41,2019-10-07,41.3875,2.1151,Palau Reial,44.539
2019,42,2019-10-14,41.3875,2.1151,Palau Reial,54.236
2019,43,2019-10-21,41.3875,2.1151,Palau Reial,39.980
2019,44,2019-10-28,41.3875,2.1151,Palau Reial,37.839
2019,45,2019-11-04,41.3853,2.1538,Eixample,33.786
2019,46,2019-11-11,41.3853,2.1538,Eixample,21.362
2019,47,2019-11-18,41.3853,2.1538,Eixample,20.730
2019,48,2019-11-25,41.3853,2.1538,Eixample,19.507
2019,45,2019-11-04,41.3987,2.1534,Gràcia,41.843
2019,46,2019-11-11,41.3987,2.1534,Gràcia,28.314
2019,47,2019-11-18,41.3987,2.1534,Gràcia,27.353
2019,48,2019-11-25,41.3987,2.1534,Gràcia,26.473
2019,45,2019-11-04,41.3864,2.1874,Ciutadella,40.451
2019,46,2019-11-11,41.3864,2.1874,Ciutadella,29.427
2019,47,2019-11-18,41.3864,2.1874,Ciutadella,25.144
2019,48,2019-11-25,41.3864,2.1874,Ciutadella,24.746
2019,45,2019-11-04,41.4261,2.148,Vall Hebron,51.053
2019,46,2019-11-11,41.4261,2.148,Vall Hebron,38.140
2019,47,2019-11-18,41.4261,2.148,Vall Hebron,38.700
2019,48,2019-11-25,41.4261,2.148,Vall Hebron,37.037
2019,45,2019-11-04,41.3875,2.1151,Palau Reial,51.705
2019,46,2019-11-11,41.3875,2.1151,Palau Reial,38.541
2019,47,2019-11-18,41.3875,2.1151,Palau Reial,39.818
2019,48,2019-11-25,41.3875,2.1151,Palau Reial,40.734
2019,49,2019-12-02,41.3853,2.1538,Eixample,2.875
2019,50,2019-12-09,41.3853,2.1538,Eixample,29.227
2019,51,2019-12-16,41.3853,2.1538,Eixample,18.306
2019,52,2019-12-23,41.3853,2.1538,Eixample,16.898
2020,1,2019-12-30,41.3853,2.1538,Eixample,13.321
2019,49,2019-12-02,41.3987,2.1534,Gràcia,27.798
2019,50,2019-12-09,41.3987,2.1534,Gràcia,33.038
2019,51,2019-12-16,41.3987,2.1534,Gràcia,26.116
2019,52,2019-12-23,41.3987,2.1534,Gràcia,20.519
2020,1,2019-12-30,41.3987,2.1534,Gràcia,16.968
2019,49,2019-12-02,41.3864,2.1874,Ciutadella,27.735
2019,50,2019-12-09,41.3864,2.1874,Ciutadella,34.207
2019,51,2019-12-16,41.3864,2.1874,Ciutadella,23.583
2019,52,2019-12-23,41.3864,2.1874,Ciutadella,19.003
2020,1,2019-12-30,41.3864,2.1874,Ciutadella,13.987
2019,49,2019-12-02,41.4261,2.148,Vall Hebron,35.818
2019,50,2019-12-09,41.4261,2.148,Vall Hebron,45.528
2019,51,2019-12-16,41.4261,2.148,Vall Hebron,34.219
2019,52,2019-12-23,41.4261,2.148,Vall Hebron,30.450
2020,1,2019-12-30,41.4261,2.148,Vall Hebron,23.362
2019,49,2019-12-02,41.3875,2.1151,Palau Reial,48.353
2019,50,2019-12-09,41.3875,2.1151,Palau Reial,47.245
2019,51,2019-12-16,41.3875,2.1151,Palau Reial,32.589
2019,52,2019-12-23,41.3875,2.1151,Palau Reial,32.962
2020,1,2019-12-30,41.3875,2.1151,Palau Reial,22.677
2020,2,2020-01-06,41.3853,2.1538,Eixample,13.329
2020,3,2020-01-13,41.3853,2.1538,Eixample,22.525
2020,4,2020-01-20,41.3853,2.1538,Eixample,38.104
2020,5,2020-01-27,41.3853,2.1538,Eixample,12.254
2020,2,2020-01-06,41.3987,2.1534,Gràcia,19.871
2020,3,2020-01-13,41.3987,2.1534,Gràcia,33.556
2020,4,2020-01-20,41.3987,2.1534,Gràcia,45.773
2020,5,2020-01-27,41.3987,2.1534,Gràcia,21.356
2020,2,2020-01-06,41.3864,2.1874,Ciutadella,17.590
2020,3,2020-01-13,41.3864,2.1874,Ciutadella,26.637
2020,4,2020-01-20,41.3864,2.1874,Ciutadella,44.139
2020,5,2020-01-27,41.3864,2.1874,Ciutadella,14.076
2020,2,2020-01-06,41.4261,2.148,Vall Hebron,29.714
2020,3,2020-01-13,41.4261,2.148,Vall Hebron,42.599
2020,4,2020-01-20,41.4261,2.148,Vall Hebron,56.348
2020,5,2020-01-27,41.4261,2.148,Vall Hebron,36.566
2020,2,2020-01-06,41.3875,2.1151,Palau Reial,28.894
2020,3,2020-01-13,41.3875,2.1151,Palau Reial,44.015
2020,4,2020-01-20,41.3875,2.1151,Palau Reial,53.821
2020,5,2020-01-27,41.3875,2.1151,Palau Reial,27.283
2020,6,2020-02-03,41.3853,2.1538,Eixample,20.183
2020,7,2020-02-10,41.3853,2.1538,Eixample,29.629
2020,8,2020-02-17,41.3853,2.1538,Eixample,29.820
2020,9,2020-02-24,41.3853,2.1538,Eixample,36.832
2020,6,2020-02-03,41.3987,2.1534,Gràcia,27.364
2020,7,2020-02-10,41.3987,2.1534,Gràcia,34.891
2020,8,2020-02-17,41.3987,2.1534,Gràcia,33.504
2020,9,2020-02-24,41.3987,2.1534,Gràcia,42.441
2020,6,2020-02-03,41.3864,2.1874,Ciutadella,23.124
2020,7,2020-02-10,41.3864,2.1874,Ciutadella,36.813
2020,8,2020-02-17,41.3864,2.1874,Ciutadella,32.248
2020,9,2020-02-24,41.3864,2.1874,Ciutadella,43.330
2020,6,2020-02-03,41.4261,2.148,Vall Hebron,40.351
2020,7,2020-02-10,41.4261,2.148,Vall Hebron,42.590
2020,8,2020-02-17,41.4261,2.148,Vall Hebron,40.023
2020,9,2020-02-24,41.4261,2.148,Vall Hebron,55.775
2020,6,2020-02-03,41.3875,2.1151,Palau Reial,39.549
2020,7,2020-02-10,41.3875,2.1151,Palau Reial,41.495
2020,8,2020-02-17,41.3875,2.1151,Palau Reial,41.980
2020,9,2020-02-24,41.3875,2.1151,Palau Reial,53.852
2020,10,2020-03-02,41.3853,2.1538,Eixample,46.759
2020,11,2020-03-09,41.3853,2.1538,Eixample,36.641
2020,12,2020-03-16,41.3853,2.1538,Eixample,65.089
2020,13,2020-03-23,41.3853,2.1538,Eixample,66.584
2020,14,2020-03-30,41.3853,2.1538,Eixample,60.541
2020,10,2020-03-02,41.3987,2.1534,Gràcia,53.674
2020,11,2020-03-09,41.3987,2.1534,Gràcia,40.457
2020,12,2020-03-16,41.3987,2.1534,Gràcia,67.338
2020,13,2020-03-23,41.3987,2.1534,Gràcia,68.450
2020,14,2020-03-30,41.3987,2.1534,Gràcia,63.747
2020,10,2020-03-02,41.3864,2.1874,Ciutadella,54.930
2020,11,2020-03-09,41.3864,2.1874,Ciutadella,38.518
2020,12,2020-03-16,41.3864,2.1874,Ciutadella,58.177
2020,13,2020-03-23,41.3864,2.1874,Ciutadella,71.283
