Datum,Faelle,Tote,FaelleSumme,ToteSumme
2020-11-02,5972,68,284987,14358
2020-11-03,5206,75,290193,14433
2020-11-04,4339,76,294532,14509
2020-11-05,4139,86,298671,14595
2020-11-06,3820,64,302491,14659
2020-11-07,1689,60,304180,14719
2020-11-08,942,65,305122,14784
2020-11-09,4045,74,309167,14858
2020-11-10,3485,69,312652,14927
2020-11-11,2871,67,315523,14994
2020-11-12,2644,72,318167,15066
2020-11-13,2507,58,320674,15124
2020-11-14,1066,58,321740,15182
2020-11-15,624,52,322364,15234
2020-11-16,2791,69,325155,15303
2020-11-17,2442,62,327597,15365
2020-11-18,2028,59,329625,15424
2020-11-19,1735,56,331360,15480
2020-11-20,1665,50,333025,15530
2020-11-21,693,51,333718,15581
2020-11-22,452,42,334170,15623
2020-11-23,1840,46,336010,15669
2020-11-24,1713,25,337723,15694
2020-11-25,1509,58,339232,15752
2020-11-26,1519,55,340751,15807
2020-11-27,1540,43,342291,15850
2020-11-28,684,54,342975,15904
2020-11-29,467,49,343442,15953
2020-11-30,1740,46,345182,15999
2020-12-01,1563,52,346745,16051
2020-12-02,1438,45,348183,16096
2020-12-03,1345,63,349528,16159
2020-12-04,1278,44,350806,16203
2020-12-05,528,33,351334,16236
2020-12-06,375,37,351709,16273
2020-12-07,1633,34,353342,16307
2020-12-08,506,36,353848,16343
2020-12-09,2084,44,355932,16387
2020-12-10,1900,50,357832,16437
2020-12-11,1955,33,359787,16470
2020-12-12,900,36,360687,16506
2020-12-13,715,36,361402,16542
2020-12-14,2598,26,364000,16568
2020-12-15,2394,34,366394,16602
2020-12-16,2277,30,368671,16632
2020-12-17,2187,29,370858,16661
2020-12-18,2466,38,373324,16699
2020-12-19,1140,36,374464,16735
2020-12-20,827,39,375291,16774
2020-12-21,2999,34,378290,16808
2020-12-22,2811,41,381101,16849
2020-12-23,2823,48,383924,16897
2020-12-24,2360,32,386284,16929
2020-12-25,854,34,387138,16963
2020-12-26,1046,36,388184,16999
2020-12-27,1019,41,389203,17040
2020-12-28,3817,44,393020,17084
2020-12-29,3742,37,396762,17121
2020-12-30,3530,40,400292,17161
2020-12-31,3153,29,403445,17190
