Ort,Datum,Wert
Eixample,2019-04-25 11,51
Eixample,2019-04-25 12,52
Eixample,2019-04-25 13,44
Eixample,2019-04-25 14,44
Eixample,2019-04-25 15,49
Eixample,2019-04-25 16,56
Eixample,2019-04-25 17,25
Eixample,2019-04-25 18,35
Eixample,2019-04-25 19,59
Eixample,2019-04-25 20,63
Eixample,2019-04-25 21,48
Eixample,2019-04-25 22,34
Eixample,2019-04-25 23,56
Eixample,2019-04-25 24,72
Eixample,2019-04-26 01,68
Eixample,2019-04-26 02,71
Eixample,2019-04-26 03,71
Eixample,2019-04-26 04,73
Eixample,2019-04-26 05,81
Eixample,2019-04-26 06,76
Eixample,2019-04-26 07,63
Eixample,2019-04-26 08,49
Eixample,2019-04-26 09,47
Eixample,2019-04-26 10,54
Eixample,2019-04-26 11,56
Eixample,2019-04-26 12,62
Eixample,2019-04-26 13,65
Eixample,2019-04-26 14,62
Eixample,2019-04-26 15,65
Eixample,2019-04-26 16,64
Eixample,2019-04-26 17,65
Eixample,2019-04-26 18,63
Eixample,2019-04-26 19,68
Eixample,2019-04-26 20,73
Eixample,2019-04-26 21,53
Eixample,2019-04-26 22,54
Eixample,2019-04-26 23,50
Eixample,2019-04-26 24,55
Eixample,2019-04-27 01,39
Eixample,2019-04-27 02,33
Eixample,2019-04-27 03,36
Eixample,2019-04-27 04,37
Eixample,2019-04-27 05,41
Eixample,2019-04-27 06,56
Eixample,2019-04-27 07,49
Eixample,2019-04-27 08,45
Eixample,2019-04-27 09,54
Eixample,2019-04-27 10,66
Eixample,2019-04-27 11,58
Eixample,2019-04-27 12,40
Eixample,2019-04-27 13,47
Eixample,2019-04-27 14,61
Eixample,2019-04-27 15,74
Eixample,2019-04-27 16,97
Eixample,2019-04-27 17,92
Eixample,2019-04-27 18,77
Eixample,2019-04-27 19,49
Eixample,2019-04-27 20,67
Eixample,2019-04-27 21,62
Eixample,2019-04-27 22,54
Eixample,2019-04-27 23,48
Eixample,2019-04-27 24,49
Eixample,2019-04-28 01,37
Eixample,2019-04-28 02,32
Eixample,2019-04-28 03,54
Eixample,2019-04-28 04,34
Eixample,2019-04-28 05,15
Eixample,2019-04-28 06,22
Eixample,2019-04-28 07,33
Eixample,2019-04-28 08,NA
Eixample,2019-04-28 09,NA
Eixample,2019-04-28 10,NA
Eixample,2019-04-28 11,NA
Eixample,2019-04-28 12,NA
Eixample,2019-04-28 13,NA
Eixample,2019-04-28 14,NA
Eixample,2019-04-28 15,NA
Eixample,2019-04-28 16,NA
Eixample,2019-04-28 17,NA
Eixample,2019-04-28 18,NA
Eixample,2019-04-28 19,NA
Eixample,2019-04-28 20,NA
Eixample,2019-04-28 21,NA
Eixample,2019-04-28 22,NA
Eixample,2019-04-28 23,NA
Eixample,2019-04-28 24,NA
Eixample,2019-04-29 01,68
Eixample,2019-04-29 02,54
Eixample,2019-04-29 03,58
Eixample,2019-04-29 04,75
Eixample,2019-04-29 05,79
Eixample,2019-04-29 06,69
Eixample,2019-04-29 07,68
Eixample,2019-04-29 08,56
Eixample,2019-04-29 09,48
Eixample,2019-04-29 10,42
Eixample,2019-04-29 11,38
Eixample,2019-04-29 12,16
Eixample,2019-04-29 13,10
Eixample,2019-04-29 14,45
Eixample,2019-04-29 15,55
Eixample,2019-04-29 16,58
Eixample,2019-04-29 17,61
Eixample,2019-04-29 18,61
Eixample,2019-04-29 19,63
Eixample,2019-04-29 20,51
Eixample,2019-04-29 21,51
Eixample,2019-04-29 22,50
Eixample,2019-04-29 23,54
Eixample,2019-04-29 24,63
Eixample,2019-04-30 01,65
Eixample,2019-04-30 02,61
Eixample,2019-04-30 03,61
Eixample,2019-04-30 04,53
Eixample,2019-04-30 05,56
Eixample,2019-04-30 06,54
Eixample,2019-04-30 07,54
Eixample,2019-04-30 08,24
Eixample,2019-04-30 09,29
Eixample,2019-04-30 10,52
Eixample,2019-04-30 11,33
Eixample,2019-04-30 12,40
Eixample,2019-04-30 13,45
Eixample,2019-04-30 14,58
Eixample,2019-04-30 15,65
Eixample,2019-04-30 16,66
Eixample,2019-04-30 17,67
Eixample,2019-04-30 18,68
Eixample,2019-04-30 19,65
Eixample,2019-04-30 20,54
Eixample,2019-04-30 21,50
Eixample,2019-04-30 22,41
Eixample,2019-04-30 23,55
Eixample,2019-04-30 24,59
Gràcia,2019-04-02 01,44
Gràcia,2019-04-02 02,63
Gràcia,2019-04-02 03,60
Gràcia,2019-04-02 04,52
Gràcia,2019-04-02 05,49
Gràcia,2019-04-02 06,37
Gràcia,2019-04-02 07,30
Gràcia,2019-04-02 08,6
Gràcia,2019-04-02 09,2
Gràcia,2019-04-02 10,4
Gràcia,2019-04-02 11,34
Gràcia,2019-04-02 12,48
Gràcia,2019-04-02 13,64
Gràcia,2019-04-02 14,70
Gràcia,2019-04-02 15,76
Gràcia,2019-04-02 16,71
Gràcia,2019-04-02 17,78
Gràcia,2019-04-02 18,69
Gràcia,2019-04-02 19,69
Gràcia,2019-04-02 20,57
Gràcia,2019-04-02 21,47
Gràcia,2019-04-02 22,57
Gràcia,2019-04-02 23,75
Gràcia,2019-04-02 24,72
Gràcia,2019-04-03 01,74
Gràcia,2019-04-03 02,65
Gràcia,2019-04-03 03,65
Gràcia,2019-04-03 04,63
Gràcia,2019-04-03 05,68
Gràcia,2019-04-03 06,71
Gràcia,2019-04-03 07,59
Gràcia,2019-04-03 08,40
Gràcia,2019-04-03 09,25
