Ort,Datum,Wert
Poblenou,2019-04-13 21,55
Poblenou,2019-04-13 22,45
Poblenou,2019-04-13 23,46
Poblenou,2019-04-13 24,35
Poblenou,2019-04-14 01,69
Poblenou,2019-04-14 02,88
Poblenou,2019-04-14 03,83
Poblenou,2019-04-14 04,68
Poblenou,2019-04-14 05,63
Poblenou,2019-04-14 06,47
Poblenou,2019-04-14 07,38
Poblenou,2019-04-14 08,50
Poblenou,2019-04-14 09,47
Poblenou,2019-04-14 10,47
Poblenou,2019-04-14 11,39
Poblenou,2019-04-14 12,12
Poblenou,2019-04-14 13,8
Poblenou,2019-04-14 14,7
Poblenou,2019-04-14 15,10
Poblenou,2019-04-14 16,6
Poblenou,2019-04-14 17,7
Poblenou,2019-04-14 18,7
Poblenou,2019-04-14 19,9
Poblenou,2019-04-14 20,9
Poblenou,2019-04-14 21,12
Poblenou,2019-04-14 22,14
Poblenou,2019-04-14 23,12
Poblenou,2019-04-14 24,11
Poblenou,2019-04-15 01,21
Poblenou,2019-04-15 02,43
Poblenou,2019-04-15 03,45
Poblenou,2019-04-15 04,53
Poblenou,2019-04-15 05,37
Poblenou,2019-04-15 06,49
Poblenou,2019-04-15 07,66
Poblenou,2019-04-15 08,76
Poblenou,2019-04-15 09,45
Poblenou,2019-04-15 10,42
Poblenou,2019-04-15 11,15
Poblenou,2019-04-15 12,14
Poblenou,2019-04-15 13,16
Poblenou,2019-04-15 14,15
Poblenou,2019-04-15 15,12
Poblenou,2019-04-15 16,11
Poblenou,2019-04-15 17,10
Poblenou,2019-04-15 18,11
Poblenou,2019-04-15 19,14
Poblenou,2019-04-15 20,14
Poblenou,2019-04-15 21,19
Poblenou,2019-04-15 22,15
Poblenou,2019-04-15 23,11
Poblenou,2019-04-15 24,11
Poblenou,2019-04-16 01,34
Poblenou,2019-04-16 02,53
Poblenou,2019-04-16 03,37
Poblenou,2019-04-16 04,38
Poblenou,2019-04-16 05,50
Poblenou,2019-04-16 06,60
Poblenou,2019-04-16 07,57
Poblenou,2019-04-16 08,74
Poblenou,2019-04-16 09,78
Poblenou,2019-04-16 10,67
Poblenou,2019-04-16 11,43
