Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,35,2019-08-26,41.3788,2.1331,Sants,25.354
2019,32,2019-08-05,41.3853,2.1538,Eixample,37.785
2019,33,2019-08-12,41.3853,2.1538,Eixample,29.258
2019,34,2019-08-19,41.3853,2.1538,Eixample,38.624
2019,35,2019-08-26,41.3853,2.1538,Eixample,51.513
2019,32,2019-08-05,41.3987,2.1534,Gràcia,34.808
2019,33,2019-08-12,41.3987,2.1534,Gràcia,24.783
2019,34,2019-08-19,41.3987,2.1534,Gràcia,35.570
2019,35,2019-08-26,41.3987,2.1534,Gràcia,47.712
2019,32,2019-08-05,41.3864,2.1874,Ciutadella,24.035
2019,33,2019-08-12,41.3864,2.1874,Ciutadella,21.160
2019,34,2019-08-19,41.3864,2.1874,Ciutadella,22.079
2019,35,2019-08-26,41.3864,2.1874,Ciutadella,30.413
2019,32,2019-08-05,41.4261,2.148,Vall Hebron,23.917
2019,33,2019-08-12,41.4261,2.148,Vall Hebron,17.175
2019,34,2019-08-19,41.4261,2.148,Vall Hebron,22.837
2019,35,2019-08-26,41.4261,2.148,Vall Hebron,27.358
2019,32,2019-08-05,41.3875,2.1151,Palau Reial,19.214
2019,33,2019-08-12,41.3875,2.1151,Palau Reial,13.713
2019,34,2019-08-19,41.3875,2.1151,Palau Reial,19.843
2019,35,2019-08-26,41.3875,2.1151,Palau Reial,28.112
2019,36,2019-09-02,41.4039,2.2045,Poblenou,26.353
2019,37,2019-09-09,41.4039,2.2045,Poblenou,25.542
2019,38,2019-09-16,41.4039,2.2045,Poblenou,39.551
2019,39,2019-09-23,41.4039,2.2045,Poblenou,30.197
2019,40,2019-09-30,41.4039,2.2045,Poblenou,32.148
2019,36,2019-09-02,41.3788,2.1331,Sants,22.950
2019,37,2019-09-09,41.3788,2.1331,Sants,27.854
2019,38,2019-09-16,41.3788,2.1331,Sants,42.471
2019,39,2019-09-23,41.3788,2.1331,Sants,24.610
2019,40,2019-09-30,41.3788,2.1331,Sants,26.898
2019,36,2019-09-02,41.3853,2.1538,Eixample,43.408
2019,37,2019-09-09,41.3853,2.1538,Eixample,51.404
2019,38,2019-09-16,41.3853,2.1538,Eixample,68.282
2019,39,2019-09-23,41.3853,2.1538,Eixample,46.756
2019,40,2019-09-30,41.3853,2.1538,Eixample,48.810
2019,36,2019-09-02,41.3987,2.1534,Gràcia,38.899
2019,37,2019-09-09,41.3987,2.1534,Gràcia,36.314
2019,38,2019-09-16,41.3987,2.1534,Gràcia,56.391
2019,39,2019-09-23,41.3987,2.1534,Gràcia,37.640
2019,40,2019-09-30,41.3987,2.1534,Gràcia,40.960
2019,36,2019-09-02,41.3864,2.1874,Ciutadella,21.473
2019,37,2019-09-09,41.3864,2.1874,Ciutadella,20.321
2019,38,2019-09-16,41.3864,2.1874,Ciutadella,33.706
2019,39,2019-09-23,41.3864,2.1874,Ciutadella,29.182
2019,40,2019-09-30,41.3864,2.1874,Ciutadella,29.328
2019,36,2019-09-02,41.4261,2.148,Vall Hebron,23.512
2019,37,2019-09-09,41.4261,2.148,Vall Hebron,20.442
2019,38,2019-09-16,41.4261,2.148,Vall Hebron,34.993
2019,39,2019-09-23,41.4261,2.148,Vall Hebron,25.429
2019,40,2019-09-30,41.4261,2.148,Vall Hebron,25.845
2019,36,2019-09-02,41.3875,2.1151,Palau Reial,19.477
2019,37,2019-09-09,41.3875,2.1151,Palau Reial,20.092
2019,38,2019-09-16,41.3875,2.1151,Palau Reial,38.942
2019,39,2019-09-23,41.3875,2.1151,Palau Reial,24.448
2019,40,2019-09-30,41.3875,2.1151,Palau Reial,28.031
2019,41,2019-10-07,41.4039,2.2045,Poblenou,35.367
2019,42,2019-10-14,41.4039,2.2045,Poblenou,40.940
2019,43,2019-10-21,41.4039,2.2045,Poblenou,35.882
2019,44,2019-10-28,41.4039,2.2045,Poblenou,46.473
2019,41,2019-10-07,41.3788,2.1331,Sants,27.958
2019,42,2019-10-14,41.3788,2.1331,Sants,30.818
2019,43,2019-10-21,41.3788,2.1331,Sants,35.289
2019,44,2019-10-28,41.3788,2.1331,Sants,42.149
