Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2019,52,2019-12-23,41.3853,2.1538,Eixample,2.387
2020,1,2019-12-30,41.3853,2.1538,Eixample,1.202
2019,49,2019-12-02,41.3987,2.1534,Gràcia,1.433
2019,50,2019-12-09,41.3987,2.1534,Gràcia,1.230
2019,51,2019-12-16,41.3987,2.1534,Gràcia,1.127
2019,52,2019-12-23,41.3987,2.1534,Gràcia,1.276
2020,1,2019-12-30,41.3987,2.1534,Gràcia,1.622
2019,49,2019-12-02,41.4261,2.148,Vall Hebron,1.503
2019,50,2019-12-09,41.4261,2.148,Vall Hebron,2.498
2019,51,2019-12-16,41.4261,2.148,Vall Hebron,1.319
2019,52,2019-12-23,41.4261,2.148,Vall Hebron,1.965
2020,1,2019-12-30,41.4261,2.148,Vall Hebron,2.007
2019,49,2019-12-02,41.3875,2.1151,Palau Reial,1.060
2019,50,2019-12-09,41.3875,2.1151,Palau Reial,1.022
2019,51,2019-12-16,41.3875,2.1151,Palau Reial,2.268
2019,52,2019-12-23,41.3875,2.1151,Palau Reial,2.164
2020,1,2019-12-30,41.3875,2.1151,Palau Reial,1.576
2020,2,2020-01-06,41.3853,2.1538,Eixample,1.640
2020,3,2020-01-13,41.3853,2.1538,Eixample,1.802
2020,4,2020-01-20,41.3853,2.1538,Eixample,1.391
2020,5,2020-01-27,41.3853,2.1538,Eixample,1.863
2020,2,2020-01-06,41.3987,2.1534,Gràcia,2.090
2020,3,2020-01-13,41.3987,2.1534,Gràcia,1.445
2020,4,2020-01-20,41.3987,2.1534,Gràcia,1.969
2020,5,2020-01-27,41.3987,2.1534,Gràcia,4.200
2020,2,2020-01-06,41.4261,2.148,Vall Hebron,1.956
2020,3,2020-01-13,41.4261,2.148,Vall Hebron,1.317
2020,4,2020-01-20,41.4261,2.148,Vall Hebron,1.035
2020,5,2020-01-27,41.4261,2.148,Vall Hebron,1.068
2020,2,2020-01-06,41.3875,2.1151,Palau Reial,1.019
2020,3,2020-01-13,41.3875,2.1151,Palau Reial,1.036
2020,4,2020-01-20,41.3875,2.1151,Palau Reial,1.289
2020,5,2020-01-27,41.3875,2.1151,Palau Reial,1.027
