Datum,Jahr,Wert
2020-08-15 00:00:00,2019,22.46
2020-08-15 00:00:00,2020,12.78
2020-08-16 00:00:00,2019,17.982
2020-08-16 00:00:00,2020,10.125
2020-08-17 00:00:00,2019,19.835
2020-08-17 00:00:00,2020,15.913
2020-08-18 00:00:00,2019,21.453
2020-08-18 00:00:00,2020,19.25
2020-08-19 00:00:00,2019,13.676
2020-08-19 00:00:00,2020,20.796
2020-08-20 00:00:00,2019,15.036
2020-08-20 00:00:00,2020,21.366
2020-08-21 00:00:00,2019,18.509
2020-08-21 00:00:00,2020,14.366
2020-08-22 00:00:00,2019,23.779
2020-08-22 00:00:00,2020,11.464
2020-08-23 00:00:00,2019,34.679
2020-08-23 00:00:00,2020,16.018
2020-08-24 00:00:00,2019,48.042
2020-08-24 00:00:00,2020,15.036
2020-08-25 00:00:00,2019,22.185
2020-08-25 00:00:00,2020,19.888
2020-08-26 00:00:00,2019,41.878
2020-08-26 00:00:00,2020,19.783
2020-08-27 00:00:00,2019,31.913
2020-08-27 00:00:00,2020,21.407
2020-08-28 00:00:00,2019,31.601
2020-08-28 00:00:00,2020,20.728
2020-08-29 00:00:00,2019,33.279
2020-08-29 00:00:00,2020,13.655
2020-08-30 00:00:00,2019,44.779
2020-08-30 00:00:00,2020,11.119
2020-08-31 00:00:00,2019,33.893
2020-08-31 00:00:00,2020,17.391
2020-09-01 00:00:00,2019,26.655
2020-09-01 00:00:00,2020,29.417
2020-09-02 00:00:00,2019,27.657
2020-09-02 00:00:00,2020,24.036
2020-09-03 00:00:00,2019,27.661
2020-09-03 00:00:00,2020,29.944
2020-09-04 00:00:00,2019,42.685
2020-09-04 00:00:00,2020,29.025
2020-09-05 00:00:00,2019,28.391
2020-09-05 00:00:00,2020,18.875
2020-09-06 00:00:00,2019,31.013
2020-09-06 00:00:00,2020,15.702
2020-09-07 00:00:00,2019,20.804
2020-09-07 00:00:00,2020,17.345
2020-09-08 00:00:00,2019,17.917
2020-09-08 00:00:00,2020,27.112
2020-09-09 00:00:00,2019,24.805
2020-09-09 00:00:00,2020,35.775
2020-09-10 00:00:00,2019,32.217
2020-09-10 00:00:00,2020,32.677
2020-09-11 00:00:00,2019,14.435
2020-09-11 00:00:00,2020,20.77
2020-09-12 00:00:00,2019,40.338
2020-09-13 00:00:00,2019,44.23
2020-09-13 00:00:00,2020,28.689
2020-09-14 00:00:00,2019,25.863
2020-09-14 00:00:00,2020,49.892
2020-09-15 00:00:00,2019,20.274
2020-09-15 00:00:00,2020,33.811
2020-09-16 00:00:00,2019,47.031
2020-09-16 00:00:00,2020,39.453
2020-09-17 00:00:00,2019,68.814
2020-09-17 00:00:00,2020,47.919
2020-09-18 00:00:00,2019,56.851
2020-09-18 00:00:00,2020,45.819
2020-09-19 00:00:00,2019,38.429
2020-09-19 00:00:00,2020,27.006
2020-09-20 00:00:00,2019,34.519
2020-09-20 00:00:00,2020,12.416
2020-09-21 00:00:00,2020,33.752
2020-09-22 00:00:00,2019,23.851
2020-09-22 00:00:00,2020,30.422
2020-09-23 00:00:00,2019,25.882
2020-09-23 00:00:00,2020,36.686
2020-09-24 00:00:00,2019,29.312
2020-09-24 00:00:00,2020,23.478
2020-09-25 00:00:00,2019,28.177
2020-09-25 00:00:00,2020,10.368
2020-09-26 00:00:00,2019,33.477
2020-09-26 00:00:00,2020,9.404
2020-09-27 00:00:00,2019,49.242
2020-09-27 00:00:00,2020,18.03
2020-09-28 00:00:00,2019,27.72
2020-09-28 00:00:00,2020,25.727
2020-09-29 00:00:00,2019,24.702
2020-09-29 00:00:00,2020,36.205
2020-09-30 00:00:00,2019,38.149
2020-09-30 00:00:00,2020,37.744
2020-10-01 00:00:00,2019,34.688
2020-10-01 00:00:00,2020,30.452
2020-10-02 00:00:00,2019,29.304
2020-10-02 00:00:00,2020,27.621
2020-10-03 00:00:00,2019,32.905
2020-10-03 00:00:00,2020,10.323
2020-10-04 00:00:00,2019,43.46
2020-10-04 00:00:00,2020,12.18
2020-10-05 00:00:00,2019,28.317
2020-10-05 00:00:00,2020,22.423
2020-10-06 00:00:00,2019,25.149
2020-10-06 00:00:00,2020,35.405
2020-10-07 00:00:00,2019,37.723
2020-10-07 00:00:00,2020,25.293
2020-10-08 00:00:00,2019,39.701
2020-10-08 00:00:00,2020,28.488
2020-10-09 00:00:00,2019,37.358
2020-10-09 00:00:00,2020,39.019
2020-10-10 00:00:00,2019,32.776
2020-10-10 00:00:00,2020,25.801
2020-10-11 00:00:00,2019,41.783
2020-10-11 00:00:00,2020,14.87
2020-10-12 00:00:00,2019,33.77
2020-10-12 00:00:00,2020,14.621
2020-10-13 00:00:00,2019,15.268
2020-10-13 00:00:00,2020,27.795
2020-10-14 00:00:00,2019,29.273
2020-10-14 00:00:00,2020,24.603
2020-10-15 00:00:00,2019,21.594
2020-10-15 00:00:00,2020,25.929
2020-10-16 00:00:00,2019,37.378
2020-10-16 00:00:00,2020,29.419
2020-10-17 00:00:00,2019,50.179
2020-10-17 00:00:00,2020,35.292
2020-10-18 00:00:00,2019,41.327
2020-10-18 00:00:00,2020,28.596
2020-10-19 00:00:00,2019,45.631
2020-10-19 00:00:00,2020,48.518
2020-10-20 00:00:00,2019,23.542
2020-10-20 00:00:00,2020,37.161
2020-10-21 00:00:00,2019,33.903
2020-10-21 00:00:00,2020,34.097
2020-10-22 00:00:00,2019,24.137
2020-10-22 00:00:00,2020,48.104
