Ort,Datum,Wert
Poblenou,2019-04-25 01,38
Poblenou,2019-04-25 02,36
Poblenou,2019-04-25 03,37
Poblenou,2019-04-25 04,33
Poblenou,2019-04-25 05,30
Poblenou,2019-04-25 06,32
Poblenou,2019-04-25 07,32
Poblenou,2019-04-25 08,40
Poblenou,2019-04-25 09,59
Poblenou,2019-04-25 10,65
Poblenou,2019-04-25 11,58
Poblenou,2019-04-25 12,59
Poblenou,2019-04-25 13,61
Poblenou,2019-04-25 14,35
Poblenou,2019-04-25 15,20
Poblenou,2019-04-25 16,16
Poblenou,2019-04-25 17,24
Poblenou,2019-04-25 18,47
Poblenou,2019-04-25 19,40
Poblenou,2019-04-25 20,26
Poblenou,2019-04-25 21,29
Poblenou,2019-04-25 22,37
Poblenou,2019-04-25 23,22
Poblenou,2019-04-25 24,6
Poblenou,2019-04-26 01,10
Poblenou,2019-04-26 02,8
Poblenou,2019-04-26 03,9
Poblenou,2019-04-26 04,3
Poblenou,2019-04-26 05,5
Poblenou,2019-04-26 06,9
Poblenou,2019-04-26 07,10
Poblenou,2019-04-26 08,12
Poblenou,2019-04-26 09,33
Poblenou,2019-04-26 10,36
Poblenou,2019-04-26 11,35
Poblenou,2019-04-26 12,NA
Poblenou,2019-04-26 13,56
Poblenou,2019-04-26 14,38
Poblenou,2019-04-26 15,35
Poblenou,2019-04-26 16,37
Poblenou,2019-04-26 17,26
Poblenou,2019-04-26 18,43
Poblenou,2019-04-26 19,41
Poblenou,2019-04-26 20,31
Poblenou,2019-04-26 21,19
Poblenou,2019-04-26 22,19
Poblenou,2019-04-26 23,18
Poblenou,2019-04-26 24,18
Poblenou,2019-04-27 01,18
Poblenou,2019-04-27 02,22
Poblenou,2019-04-27 03,21
Poblenou,2019-04-27 04,17
Poblenou,2019-04-27 05,16
Poblenou,2019-04-27 06,15
Poblenou,2019-04-27 07,12
Poblenou,2019-04-27 08,15
Poblenou,2019-04-27 09,20
Poblenou,2019-04-27 10,40
Poblenou,2019-04-27 11,34
Poblenou,2019-04-27 12,29
Poblenou,2019-04-27 13,33
Poblenou,2019-04-27 14,33
Poblenou,2019-04-27 15,36
Poblenou,2019-04-27 16,29
Poblenou,2019-04-27 17,26
Poblenou,2019-04-27 18,23
Poblenou,2019-04-27 19,23
Poblenou,2019-04-27 20,28
Poblenou,2019-04-27 21,20
Poblenou,2019-04-27 22,19
Poblenou,2019-04-27 23,17
Poblenou,2019-04-27 24,16
Poblenou,2019-04-28 01,16
Poblenou,2019-04-28 02,15
Poblenou,2019-04-28 03,16
Poblenou,2019-04-28 04,22
Poblenou,2019-04-28 05,26
Poblenou,2019-04-28 06,22
Poblenou,2019-04-28 07,21
Poblenou,2019-04-28 08,NA
Poblenou,2019-04-28 09,NA
Poblenou,2019-04-28 10,NA
Poblenou,2019-04-28 11,NA
Poblenou,2019-04-28 12,NA
Poblenou,2019-04-28 13,NA
Poblenou,2019-04-28 14,NA
Poblenou,2019-04-28 15,NA
Poblenou,2019-04-28 16,NA
Poblenou,2019-04-28 17,NA
Poblenou,2019-04-28 18,NA
Poblenou,2019-04-28 19,NA
Poblenou,2019-04-28 20,NA
Poblenou,2019-04-28 21,NA
Poblenou,2019-04-28 22,NA
Poblenou,2019-04-28 23,NA
Poblenou,2019-04-28 24,NA
Poblenou,2019-04-29 01,27
Poblenou,2019-04-29 02,23
Poblenou,2019-04-29 03,22
Poblenou,2019-04-29 04,21
Poblenou,2019-04-29 05,22
Poblenou,2019-04-29 06,24
Poblenou,2019-04-29 07,24
Poblenou,2019-04-29 08,56
Poblenou,2019-04-29 09,44
Poblenou,2019-04-29 10,46
Poblenou,2019-04-29 11,45
Poblenou,2019-04-29 12,49
Poblenou,2019-04-29 13,51
Poblenou,2019-04-29 14,39
Poblenou,2019-04-29 15,44
Poblenou,2019-04-29 16,45
Poblenou,2019-04-29 17,48
Poblenou,2019-04-29 18,111
Poblenou,2019-04-29 19,105
Poblenou,2019-04-29 20,53
Poblenou,2019-04-29 21,34
Poblenou,2019-04-29 22,31
Poblenou,2019-04-29 23,25
Poblenou,2019-04-29 24,19
Poblenou,2019-04-30 01,14
Poblenou,2019-04-30 02,14
Poblenou,2019-04-30 03,27
Poblenou,2019-04-30 04,16
Poblenou,2019-04-30 05,14
Poblenou,2019-04-30 06,14
Poblenou,2019-04-30 07,17
Poblenou,2019-04-30 08,22
Poblenou,2019-04-30 09,24
Poblenou,2019-04-30 10,31
Poblenou,2019-04-30 11,36
Poblenou,2019-04-30 12,30
Poblenou,2019-04-30 13,32
Poblenou,2019-04-30 14,35
Poblenou,2019-04-30 15,32
Poblenou,2019-04-30 16,37
Poblenou,2019-04-30 17,95
Poblenou,2019-04-30 18,98
Poblenou,2019-04-30 19,91
Poblenou,2019-04-30 20,60
Poblenou,2019-04-30 21,37
Poblenou,2019-04-30 22,34
Poblenou,2019-04-30 23,27
Poblenou,2019-04-30 24,25
Eixample,2019-04-02 01,15
Eixample,2019-04-02 02,16
Eixample,2019-04-02 03,14
Eixample,2019-04-02 04,16
Eixample,2019-04-02 05,21
Eixample,2019-04-02 06,24
Eixample,2019-04-02 07,27
Eixample,2019-04-02 08,43
Eixample,2019-04-02 09,56
Eixample,2019-04-02 10,60
Eixample,2019-04-02 11,65
Eixample,2019-04-02 12,57
Eixample,2019-04-02 13,60
Eixample,2019-04-02 14,63
Eixample,2019-04-02 15,49
Eixample,2019-04-02 16,47
Eixample,2019-04-02 17,40
Eixample,2019-04-02 18,44
Eixample,2019-04-02 19,46
Eixample,2019-04-02 20,42
Eixample,2019-04-02 21,35
Eixample,2019-04-02 22,41
Eixample,2019-04-02 23,22
Eixample,2019-04-02 24,16
Eixample,2019-04-03 01,22
Eixample,2019-04-03 02,13
Eixample,2019-04-03 03,13
Eixample,2019-04-03 04,10
Eixample,2019-04-03 05,12
Eixample,2019-04-03 06,15
Eixample,2019-04-03 07,19
Eixample,2019-04-03 08,31
Eixample,2019-04-03 09,40
Eixample,2019-04-03 10,40
Eixample,2019-04-03 11,NA
Eixample,2019-04-03 12,NA
Eixample,2019-04-03 13,NA
Eixample,2019-04-03 14,NA
Eixample,2019-04-03 15,53
Eixample,2019-04-03 16,50
Eixample,2019-04-03 17,45
Eixample,2019-04-03 18,38
Eixample,2019-04-03 19,31
Eixample,2019-04-03 20,23
Eixample,2019-04-03 21,20
Eixample,2019-04-03 22,12
Eixample,2019-04-03 23,10
Eixample,2019-04-03 24,11
Eixample,2019-04-04 01,12
Eixample,2019-04-04 02,6
Eixample,2019-04-04 03,5
Eixample,2019-04-04 04,4
Eixample,2019-04-04 05,4
Eixample,2019-04-04 06,2
Eixample,2019-04-04 07,6
Eixample,2019-04-04 08,17
Eixample,2019-04-04 09,15
Eixample,2019-04-04 10,16
Eixample,2019-04-04 11,7
Eixample,2019-04-04 12,12
Eixample,2019-04-04 13,15
Eixample,2019-04-04 14,15
Eixample,2019-04-04 15,24
Eixample,2019-04-04 16,24
Eixample,2019-04-04 17,32
Eixample,2019-04-04 18,40
Eixample,2019-04-04 19,28
Eixample,2019-04-04 20,25
Eixample,2019-04-04 21,23
Eixample,2019-04-04 22,25
Eixample,2019-04-04 23,20
Eixample,2019-04-04 24,19
Eixample,2019-04-05 01,13
Eixample,2019-04-05 02,10
Eixample,2019-04-05 03,10
Eixample,2019-04-05 04,8
Eixample,2019-04-05 05,9
Eixample,2019-04-05 06,8
Eixample,2019-04-05 07,18
Eixample,2019-04-05 08,39
Eixample,2019-04-05 09,49
Eixample,2019-04-05 10,38
Eixample,2019-04-05 11,37
Eixample,2019-04-05 12,51
Eixample,2019-04-05 13,38
Eixample,2019-04-05 14,39
Eixample,2019-04-05 15,38
Eixample,2019-04-05 16,26
Eixample,2019-04-05 17,32
Eixample,2019-04-05 18,33
Eixample,2019-04-05 19,34
Eixample,2019-04-05 20,38
Eixample,2019-04-05 21,34
Eixample,2019-04-05 22,27
Eixample,2019-04-05 23,24
Eixample,2019-04-05 24,18
Eixample,2019-04-06 01,10
Eixample,2019-04-06 02,10
Eixample,2019-04-06 03,9
Eixample,2019-04-06 04,6
Eixample,2019-04-06 05,3
Eixample,2019-04-06 06,2
Eixample,2019-04-06 07,4
Eixample,2019-04-06 08,4
Eixample,2019-04-06 09,6
Eixample,2019-04-06 10,5
Eixample,2019-04-06 11,7
Eixample,2019-04-06 12,11
Eixample,2019-04-06 13,13
Eixample,2019-04-06 14,10
Eixample,2019-04-06 15,10
Eixample,2019-04-06 16,10
Eixample,2019-04-06 17,16
Eixample,2019-04-06 18,15
Eixample,2019-04-06 19,18
Eixample,2019-04-06 20,24
Eixample,2019-04-06 21,18
Eixample,2019-04-06 22,24
Eixample,2019-04-06 23,23
Eixample,2019-04-06 24,28
Eixample,2019-04-07 01,28
Eixample,2019-04-07 02,15
Eixample,2019-04-07 03,14
Eixample,2019-04-07 04,9
Eixample,2019-04-07 05,3
Eixample,2019-04-07 06,2
Eixample,2019-04-07 07,5
Eixample,2019-04-07 08,5
Eixample,2019-04-07 09,6
Eixample,2019-04-07 10,6
Eixample,2019-04-07 11,1
